,comunidad,número de casos,prueba PCR,test anticuerpos,test antígenos,prueba serológica,otra prueba,población,casos,PCR,anticuerpos,antígenos,serológica,otra
0,Andalucía,485797.0,336144.0,323.0,149323.0,7.0,0.0,8414240.0,5.773510144707068,3.994941908003575,0.003838730533001198,1.7746463138679192,8.319230257278138e-05,0.0
1,Aragón,107928.0,106673.0,1.0,1047.0,31.0,176.0,1319291.0,8.180757694852765,8.085630842626836,7.57982886262394e-05,0.07936080819167265,0.0023497469474134214,0.013340498798218133
2,Canarias,42251.0,35158.0,0.0,7048.0,0.0,45.0,2153389.0,1.9620700207904842,1.6326822510935088,0.0,0.3272980404376543,0.0,0.002089729259321005
3,Cantabria,25005.0,24586.0,1.0,269.0,0.0,149.0,581078.0,4.303208863526067,4.231101504445187,0.00017209393575389192,0.046293268717796925,0.0,0.025641996427329894
4,Castilla y León,207885.0,155286.0,692.0,51663.0,243.0,1.0,2399548.0,8.663506627081434,6.471468793289403,0.028838764634006073,2.153030487408462,0.010126907234195773,4.1674515367060796e-05
5,Castilla-La Mancha,170707.0,138677.0,2593.0,29254.0,167.0,16.0,2032863.0,8.397368637237236,6.82175827884122,0.12755409488981795,1.4390541812212627,0.008215014981334206,0.0007870673036008821
6,Cataluña,509641.0,494282.0,1.0,4.0,2988.0,12366.0,7675217.0,6.640085876399326,6.439974270434308,1.302894758545589e-05,5.211579034182356e-05,0.0389304953853422,0.16111596584174753
7,Ceuta,4771.0,2102.0,2.0,2659.0,8.0,0.0,84777.0,5.627705627705628,2.4794460761763215,0.00235913042452552,3.136463899406679,0.00943652169810208,0.0
8,Comunidad Foral de Navarra,51860.0,44752.0,64.0,7042.0,0.0,2.0,654214.0,7.927069735591107,6.840575102336544,0.009782731644385477,1.0764061912462894,0.0,0.00030571036388704615
9,Comunidad Valenciana,381890.0,306975.0,355.0,74378.0,0.0,182.0,5003769.0,7.632046962999291,6.134875530824864,0.007094652051283742,1.4864395218884006,0.0,0.003637258234742651
10,Comunidad de Madrid,597741.0,431576.0,22.0,166142.0,1.0,0.0,6663394.0,8.970518627594286,6.476819470678156,0.000330162076563385,2.4933539874724504,1.50073671165175e-05,0.0
11,Euskadi,153952.0,117093.0,0.0,36717.0,0.0,142.0,2207776.0,6.973171191280275,5.303663052773469,0.0,1.6630763265838564,0.0,0.006431811922948705
12,Extremadura,69340.0,46512.0,250.0,22505.0,15.0,58.0,1067710.0,6.494272789427841,4.3562390536756235,0.023414597596725702,2.107782075657248,0.001404875855803542,0.005432186642440363
13,Galicia,113257.0,103859.0,64.0,9255.0,79.0,0.0,2699499.0,4.195482198733913,3.8473435255949346,0.0023708102873903638,0.34284139390309093,0.0029264689484974804,0.0
14,Islas Baleares,56478.0,48104.0,154.0,8219.0,0.0,1.0,1149460.0,4.913437614184051,4.184921615367216,0.013397595392619142,0.7150314060515373,0.0,8.699737267934509e-05
15,La Rioja,27610.0,26315.0,60.0,1176.0,11.0,48.0,316798.0,8.715332798818174,8.306554965624782,0.018939513507029715,0.3712144647377824,0.003472244142955448,0.015151610805623774
16,Melilla,7185.0,4386.0,0.0,2799.0,0.0,0.0,86487.0,8.307606923583892,5.071282389260814,0.0,3.2363245343230775,0.0,0.0
17,Principado de Asturias,44561.0,42272.0,0.0,2289.0,0.0,0.0,1022800.0,4.356765741102855,4.13296832225264,0.0,0.2237974188502151,0.0,0.0
18,Región de Murcia,107139.0,76456.0,191.0,30335.0,67.0,90.0,1493898.0,7.1717747798042435,5.117886227841526,0.012785344113185774,2.030593788866442,0.004484911285777209,0.006024507697312668
