,comunidad,número de casos,número de hospitalizaciones,número de ingresos UCI,número de defunciones,población,hospitalizaciones,ingresos UCI,defunciones
0,Andalucía,480332.0,38434.0,3885.0,8613.0,8414240.0,0.4567732795831828,0.04617172792789367,0.10236218600848086
1,Aragón,106679.0,12316.0,1129.0,3295.0,1319291.0,0.9335317227207645,0.08557626785902428,0.2497553610234588
2,Canarias,41050.0,4201.0,808.0,609.0,2153389.0,0.19508783596461207,0.037522249811808274,0.028281002642810936
3,Cantabria,25005.0,2626.0,360.0,526.0,581078.0,0.45191867528972013,0.061953816871401085,0.09052141020654714
4,Castilla y León,201197.0,24566.0,1905.0,6425.0,2399548.0,1.0237761445072155,0.07938995177425082,0.2677587612333656
5,Castilla-La Mancha,170689.0,18075.0,1312.0,5661.0,2032863.0,0.8891400945366215,0.06453951889527233,0.2784742503552871
6,Cataluña,504232.0,34475.0,2711.0,10502.0,7675217.0,0.4491729680085918,0.035321476904170916,0.13683000754245775
7,Ceuta,4771.0,260.0,30.0,86.0,84777.0,0.30668695518831757,0.0353869563678828,0.10144260825459736
8,Comunidad Foral de Navarra,51860.0,5168.0,454.0,1105.0,654214.0,0.7899555802841272,0.06939625260235947,0.168904976047593
9,Comunidad Valenciana,380110.0,31755.0,2882.0,6848.0,5003769.0,0.6346216222211697,0.05759658369521055,0.13685683731603118
10,Comunidad de Madrid,597741.0,89304.0,6484.0,14245.0,6663394.0,1.3402179129734786,0.09730776838349946,0.21377994457479177
11,Euskadi,153952.0,12757.0,1079.0,3796.0,2207776.0,0.5778213007116664,0.048872711724377835,0.17193773281347383
12,Extremadura,68524.0,5606.0,487.0,1720.0,1067710.0,0.5250489365089771,0.045611636118421665,0.16109243146547284
13,Galicia,113166.0,12211.0,1631.0,2252.0,2699499.0,0.45234319405193335,0.06041861841771381,0.08342288698754843
14,Islas Baleares,56478.0,4397.0,654.0,732.0,1149460.0,0.3825274476710803,0.056896281732291686,0.0636820768012806
15,La Rioja,27610.0,3216.0,356.0,730.0,316798.0,1.0151579239767927,0.11237444680837631,0.23043074766886154
16,Melilla,7185.0,506.0,80.0,74.0,86487.0,0.5850590262120319,0.09249945078451097,0.08556199197567264
17,Principado de Asturias,44561.0,7477.0,564.0,1797.0,1022800.0,0.7310324599139617,0.055142745404771216,0.17569417285881894
18,Región de Murcia,107139.0,8596.0,1107.0,1531.0,1493898.0,0.5754074240677743,0.07410144467694582,0.10248356982872994
